Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load,Month
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,DAMERA,OGLAPUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,380,30,Jan-24
NIZAMABAD,DICHPALLY,DICHPALLY,DICHPALLY,DICHPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,29,30,Jan-24
MANCHERIAL,MANCHERIAL,CHENNUR,JAIPUR,JAIPUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,30,Jan-24
KAMAREDDY,BANSWADA,BANSWADA,BANSWADA,BANSWADA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,192,30,Jan-24
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,PARKAL-TOWN,PARKAL,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,292,30,Jan-24
HANUMAKONDA,HANAMKONDA/TOWN,NAYEEMNAGAR,YADAVA NAGAR,PEDDAMMAGADDA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1066,30,Jan-24
KAMAREDDY,BANSWADA,BANSWADA,BIRKUR,BIRKUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,37,30,Jan-24
NIZAMABAD,NIZAMABAD,NIZAMABAD TOWN 3,BOURGAON,BORGAON (P),9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1581,45,Jan-24
KAMAREDDY,KAMAREDDY,Kamareddy Town,KAMAREDDY(R),PATHARAJAMPET,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,544,45,Jan-24
KARIMNAGAR,HUZURABAD,HUZURABAD,HUZURABAD TOWN,RTC DEPO ,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,518,20,Jan-24
HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),SUBEDARI,BONDIVAGU,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1100,30,Jan-24
