Main Circle ,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load,Month
"PEDDAPALLY, Hyderabad, Telangana, India, Hyderabad, Telangana, India",PEDDAPALLY,PEDDAPALLY,BOMPALLY,ANDUGULAPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,401,30,Dec-24
"MANCHERIAL, Hyderabad, Telangana, India",MANCHERIAL,CHENNUR,JAIPUR,JAIPUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,718,30,Dec-24
"NIZAMABAD, Hyderabad, Telangana, India",NIZAMABAD,NIZAMABAD TOWN 3,BOURGAON,BORGAON (P),9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1730,45,Dec-24
"WARANGAL, Hyderabad, Telangana, India",WARANGAL,MULUGU ROAD,POCHAMMA MAIDAN,POCHAMMAMAIDAN,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,807,30,Dec-24
"PEDDAPALLY, Hyderabad, Telangana, India",MANTHANI,RAMAGUNDAM,RAMAGUNDAM,MOGALPAHAD,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,133,30,Dec-24
"NIRMAL, Hyderabad, Telangana, India",NIRMAL,NIRMAL,NIRMAL-TOWN3,DIVYA NAGAR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,912,45,Dec-24
"NIZAMABAD, Hyderabad, Telangana, India",DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,BARDIPUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,769,54,Dec-24
"NIZAMABAD, Hyderabad, Telangana, India",BODHAN,RUDRUR,VARNI,SN PURAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,160,30,Dec-24
"NIZAMABAD, Hyderabad, Telangana, India",DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,SUDDAPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1631,30,Dec-24
"PEDDAPALLY, Hyderabad, Telangana, India",MANTHANI,Manthani,MANTHANI TOWN,MANTHANI,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,30,Dec-24
"NIZAMABAD, Hyderabad, Telangana, India",ARMOOR,PERKIT,PERKIT,PERKIT,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,2177,50,Dec-24
"NIZAMABAD, Hyderabad, Telangana, India",DICHPALLY,DICHPALLY,DICHPALLY,DICHPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,33,30,Dec-24
"ADILABAD, Hyderabad, Telangana, India",ADILABAD,ADILABAD TOWN,ADILABAD TOWN-III,ADILABAD-TOWN-III,9,ELECTRIC VEHICLE CHARGING STATIONS,2,2,681,75,Dec-24
"ADILABAD, Hyderabad, Telangana, India",ADILABAD,ADILABAD TOWN,MAVALA,DASNAPUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,295,30,Dec-24
"BHADRADRI KOTHAGUDEM, Hyderabad, Telangana, India",BHADRACHALAM,BHADRACHALAM,BCM-TOWN,BHADRACHALAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,21,30,Dec-24
"BHADRADRI KOTHAGUDEM, Hyderabad, Telangana, India",BHADRACHALAM,BHADRACHALAM,BURGUMPADU,LAKSHMIPURAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,302,30,Dec-24
"HANUMAKONDA, Hyderabad, Telangana, India",HANAMKONDA/RURAL,PARKAL,PARKAL-TOWN,PARKAL,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,489,30,Dec-24
"HANUMAKONDA, Hyderabad, Telangana, India",HANAMKONDA/TOWN,NAYEEMNAGAR,YADAVA NAGAR,PEDDAMMAGADDA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1356,30,Dec-24
"BHUPALAPALLY, Hyderabad, Telangana, India",MULUGU,N. VENKATAPURAM,N.V.PURAM,N V PURAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,17,30,Dec-24
"BHADRADRI KOTHAGUDEM, Hyderabad, Telangana, India",KOTHAGUDEM,YELLANDU,YELLANDU TOWN,YELLANDU,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,402,25,Dec-24
"BHADRADRI KOTHAGUDEM, Hyderabad, Telangana, India",BHADRACHALAM,MANUGURU,ASWAPURAM,ASWAPURAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,161,30,Dec-24
"HANUMAKONDA, Hyderabad, Telangana, India",HANAMKONDA/RURAL,HASANPARTHY,HASANPARTHY,YELLAPUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,175,30,Dec-24
"HANUMAKONDA, Hyderabad, Telangana, India",HANAMKONDA/RURAL,KAMALAPUR,ELKATHURTHY,ELKATHURTHY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,84,30,Dec-24
"HANUMAKONDA, Hyderabad, Telangana, India",HANAMKONDA/TOWN,HANAMKONDA(T),NAKKALAGUTTA,BALASAMUDRAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,55,Dec-24
"HANUMAKONDA, Hyderabad, Telangana, India",HANAMKONDA/TOWN,HANAMKONDA(T),SUBEDARI,BONDIVAGU,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1297,30,Dec-24
"HANUMAKONDA, Hyderabad, Telangana, India",HANAMKONDA/TOWN,HANAMKONDA(T),SUBEDARI,HUNTER ROAD,9,ELECTRIC VEHICLE CHARGING STATIONS,2,2,2349,80,Dec-24
"HANUMAKONDA, Hyderabad, Telangana, India",HANAMKONDA/TOWN,KAZIPET,NIT,TEACHERS COLONY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,943,30,Dec-24
"BHADRADRI KOTHAGUDEM, Hyderabad, Telangana, India",KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,TEKULA PALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,158,30,Dec-24
